Id,Nombre,Apellidos,Edad,SalarioMensual,RetencionFuente,Cargo
264047,Kelly,Gutierrez,29,4016378,0.1,Desarrollador Senior
68733,Veronica,Gomez,26,8626524,0.1,Desarrollador Senior
55031,Pablo,Peralta,47,46420133,0.1,Desarrollador Junior
298634,Isabel,Montoya,34,15964186,0.1,Desarrollador Senior
248411,Andres,Gomez,58,3318223,0.1,Desarrollador Junior
137128,Isabel,Peralta,27,7501898,0.1,Desarrollador Junior
134079,Andres,Perez,29,6855305,0.1,Desarrollador Senior
363517,Andres,Gutierrez,25,30607791,0.1,Desarrollador Senior
231823,Mauricio,Peralta,30,43020272,0.1,Arquitecto
249429,Pablo,Perez,47,42276528,0.1,Arquitecto
308863,Veronica,Gonzalez,57,37625880,0.1,Desarrollador Junior
50662,Pablo,Peralta,23,40148526,0.1,Desarrollador Senior
384014,Manuela,Gomez,32,19672275,0.1,Arquitecto
249969,Mauricio,Gutierrez,31,12098149,0.1,Desarrollador Senior
272756,Juan,Gutierrez,50,33932959,0.1,Desarrollador Senior
300919,Isabel,Urrego,33,48090356,0.1,Arquitecto
292112,Pablo,Perez,38,7031264,0.1,Arquitecto
86850,Andres,Perez,59,16521307,0.1,Desarrollador Junior
355222,Andres,Gutierrez,44,26114269,0.1,Desarrollador Junior
441851,Isabel,Peralta,28,31829668,0.1,Desarrollador Senior
149618,Pablo,Peralta,60,42939308,0.1,Arquitecto
41799,Ana,Urrego,31,25998570,0.1,Arquitecto
282001,Pablo,Gonzalez,42,8603196,0.1,Arquitecto
447701,Pablo,Gutierrez,47,17026626,0.1,Desarrollador Senior
90190,Isabel,Gutierrez,46,12437630,0.1,Desarrollador Junior
106057,Mauricio,Gonzalez,54,25953314,0.1,Arquitecto
343532,Kelly,Urrego,50,42212812,0.1,Desarrollador Junior
362001,Manuela,Gomez,54,29483996,0.1,Desarrollador Junior
109027,Veronica,Gomez,24,10974803,0.1,Desarrollador Senior
448089,Ana,Urrego,34,35699324,0.1,Arquitecto
263284,Juan,Gomez,52,13947688,0.1,Desarrollador Senior
402176,Manuela,Gutierrez,27,46695150,0.1,Desarrollador Senior
377155,Pablo,Gomez,48,47139157,0.1,Desarrollador Junior
191457,Manuela,Gutierrez,56,42030644,0.1,Desarrollador Senior
472468,Andres,Montoya,50,46542416,0.1,Arquitecto
115301,Veronica,Peralta,33,24710951,0.1,Desarrollador Junior
8344,Mauricio,Gutierrez,60,8680565,0.1,Arquitecto
15336,Ana,Peralta,23,44747694,0.1,Arquitecto
306124,Pablo,Montoya,51,8042187,0.1,Desarrollador Senior
318863,Raul,Perez,46,14109875,0.1,Arquitecto
202848,Ana,Montoya,44,3380790,0.1,Desarrollador Junior
264347,Manuela,Peralta,59,49956420,0.1,Arquitecto
4980,Andres,Gonzalez,41,30753103,0.1,Desarrollador Junior
389460,Juan,Gonzalez,47,10006054,0.1,Desarrollador Senior
287918,Manuela,Gomez,48,21359139,0.1,Desarrollador Junior
250701,Mauricio,Montoya,28,26658356,0.1,Desarrollador Senior
30819,Raul,Gomez,36,25881498,0.1,Desarrollador Junior
460049,Pablo,Urrego,57,45606458,0.1,Arquitecto
332403,Manuela,Urrego,28,42207557,0.1,Arquitecto
11446,Kelly,Gutierrez,26,38916214,0.1,Desarrollador Junior
314037,Andres,Perez,24,25533904,0.1,Arquitecto
173486,Manuela,Montoya,51,11735342,0.1,Desarrollador Junior
50661,Manuela,Montoya,53,42501348,0.1,Arquitecto
266598,Ana,Montoya,23,35836423,0.1,Desarrollador Junior
281437,Raul,Perez,40,34898858,0.1,Desarrollador Junior
360103,Ana,Montoya,38,28194396,0.1,Desarrollador Senior
357040,Ana,Perez,56,31822867,0.1,Desarrollador Senior
135327,Kelly,Urrego,53,9674067,0.1,Arquitecto
118041,Pablo,Peralta,47,38532565,0.1,Desarrollador Junior
422823,Andres,Gonzalez,41,22159669,0.1,Arquitecto
56908,Kelly,Gonzalez,54,36871439,0.1,Desarrollador Junior
292470,Kelly,Perez,29,41759252,0.1,Desarrollador Junior
8042,Veronica,Perez,25,22895187,0.1,Desarrollador Junior
193175,Juan,Urrego,48,14986488,0.1,Arquitecto
239236,Isabel,Montoya,47,46661267,0.1,Arquitecto
411884,Mauricio,Peralta,31,14135336,0.1,Desarrollador Junior
316351,Isabel,Gomez,24,30444372,0.1,Arquitecto
336210,Juan,Perez,55,12254980,0.1,Arquitecto
184434,Juan,Peralta,48,43206319,0.1,Desarrollador Junior
247548,Mauricio,Gonzalez,37,15012247,0.1,Desarrollador Junior
215122,Pablo,Montoya,25,11496134,0.1,Desarrollador Senior
490368,Pablo,Montoya,54,18372256,0.1,Desarrollador Junior
44106,Mauricio,Montoya,22,16977728,0.1,Desarrollador Junior
391192,Isabel,Perez,39,5996913,0.1,Desarrollador Senior
